pid,location,activity,start_time,end_time,duration_sec,actual_concentration,expected_concentration,perceived_distraction,purpose_of_using_smartphone
p2,강의실,수업,1557195170024 ,1557195346755 ,177,4,5,5,휴식
p2,강의실,수업,1557198143638 ,1557198876813 ,733,2,4,3,시간확인
p25,강의실,아무것도 안함,1557199885361 ,1557199970443 ,85,3,3,3,
p2,강의실,수업,1557199134454 ,1557199973792 ,838,2,4,3,휴시 휴식
p7,강의실,수업,1557199748808 ,1557200105196 ,356,4,4,3,
p24,강의실,수업,1557199733789 ,1557200142910 ,409,4,4,5,
p18,강의실,수업,1557199980025 ,1557200146244 ,165,4,4,3,실험 확인
p13,강의실,OT,1557199733973 ,1557200163135 ,429,5,4,4,설문을 위해서
p1,강의실,수업,1557199740114 ,1557200173767 ,434,3,3,3,실험
p16,강의실,수업,1557200340067 ,1557200415277 ,75,3,3,3,오티 중 어플리케이션 작동 확인
p2,강의실,수업,1557200387770 ,1557201197743 ,809,1,4,3,시간확인
p22,강의실,OT,1557201457277 ,1557201553094 ,197,3,3,4,설문이 뜨는지 확인하기 위함
p17,인후 식당,친구와 오프라인 대화,1557201905201 ,1557202070757 ,166,3,3,4,무심코 핸드폰에 손이 갔다
p32,강의실,공부,1557202404183 ,1557202489466 ,85,1,1,1,테스트
p24,정석,근로,1557202559146 ,1557202579335 ,107,4,4,3,시간을 보기 위해
p13,동아리방,공부,1557202699094 ,1557202752233 ,53,4,3,3,강의자료열람
p17,인후 식당,식사,1557202311320 ,1557203025199 ,714,4,4,4,수학 시험 점수 확인
p2,도서관,공부,1557202327900 ,1557203512538 ,1185,4,4,3,시간확인
p3,강의실,수업,1557203736725 ,1557203939996 ,203,3,5,5,시간을 확인하기 위해서
p17,정석 도서관,친구와 오프라인 대화,1557204169096 ,1557204243487 ,75,4,4,4,무슨 소식이 왔나 보려고
p18,강의실,수업,1557203927855 ,1557204243316 ,315,4,4,4,시간 확인
p24,정석,공부,1557204196098 ,1557204529974 ,334,4,5,5,
p18,강의실,수업,1557204460217 ,1557204645548 ,186,4,4,4,그냥 켜짐...
p7,대중교통,수면,1557204400875 ,1557204669028 ,268,3,3,3,
p3,강의실,수업,1557204160610 ,1557204702025 ,541,4,5,5,인하대학교 알림이 떠서 확인 용도로
p25,강의실,수업,1557202515847 ,1557205012149 ,2495,3,5,4,메신저 확인
p16,강의실,수업,1557203591113 ,1557205016039 ,1425,3,5,4,시간확인
p32,도서관,좌석이동,1557204994078 ,1557205074821 ,80,4,3,1,시간 확인할려고...
p7,대중교통,수면,1557205397804 ,1557205411257 ,69,3,3,3,
p13,동아리방,공부,1557205224057 ,1557205453517 ,230,4,4,4,검색
p32,도서관,공부,1557205737818 ,1557205792559 ,54,4,4,4,저절로 켜짐 ..
p24,정석,공부,1557204776111 ,1557206054595 ,1278,4,4,4,번역기를 사용하기 위해
p2,도서관,공부,1557206185185 ,1557206577307 ,392,3,3,3,휴식
p31,강의실,수업,1557206512041 ,1557206627701 ,115,3,3,3,확인
p33,강의실,오리엔테이션,1557206521083 ,1557206690185 ,169,4,4,4,앱 설치 및 사용방법 확인
p22,집,식사,1557205885291 ,1557206720377 ,835,2,1,2,카톡
p17,정석 도서관,수면,1557204901016 ,1557206822072 ,1921,2,3,4,소식이 궁금해서
p25,강의실,수업,1557205812199 ,1557206914021 ,1102,4,5,4,알람떠서 확인
p8,ETC,ETC,1557206797112 ,1557206973277 ,176,5,5,3,오티
p3,강의실,수업,1557206852336 ,1557207001215 ,149,3,5,4,SNS 사용을 위해서
p2,도서관,공부,1557206838171 ,1557207265132 ,427,3,3,3,시간확인
p25,강의실,수업,1557207130802 ,1557207814616 ,684,3,5,4,습관적으로 켬
p10,도서관,독서,1557207590707 ,1557207850213 ,259,4,5,2,앱 작동여부 확인
p18,강의실,수업,1557204835585 ,1557207913738 ,3078,4,3,3,수업 종료
p17,정석 도서관,수면,1557207064012 ,1557207963072 ,899,3,4,4,시간 확인
p14,연구실,이동,1557208302638 ,1557208364539 ,44,3,3,2,카톡
p32,도서관,공부,1557206277184 ,1557208377322 ,2100,4,4,4,문자를 확인하기위해서
p21,연구실,휴식,1557208899168 ,1557208941291 ,441,4,3,3,카톡 확인
p6,기숙사,공부,1557208859036 ,1557209127517 ,269,4,5,4,실험 테스트
p3,학교식당,식사,1557209465394 ,1557209518373 ,115,4,5,2,심심해서
p2,강의실,수업,1557209589173 ,1557209685609 ,96,3,3,3,카톡확인
p24,강의실,수업,1557210279103 ,1557210373285 ,94,4,4,4,
p10,강의실,수업,1557210165753 ,1557210394479 ,228,3,5,3,수업중에 연락을 확인 하기 위해
p21,연구실,연구,1557210393536 ,1557210405993 ,193,4,5,4,연구
p30,기숙사,수면,1557208692375 ,1557210455276 ,1763,5,4,4,시간 확인
p6,기숙사,공부,1557209343066 ,1557210553919 ,1210,4,5,4,공부하는 중에 알람을 맞추기 위해서
p13,동아리방,공부,1557210394963 ,1557210566946 ,172,4,4,4,검색
p14,연구실,실험,1557209706962 ,1557210674305 ,967,5,5,2,sns
p2,강의실,수업,1557209877986 ,1557210707081 ,829,4,4,3,확인목적
p31,기숙사,유튜브,1557209658074 ,1557210863287 ,1205,4,4,2,카톡확인
p8,헬스장,헬스,1557210972062 ,1557211020171 ,48,5,5,3,휴식
p24,강의실,수업,1557210676408 ,1557211037342 ,361,4,4,4,
p18,자취방,공부,1557210632509 ,1557211082350 ,449,4,4,4,카톡알림
p15,기숙사,글쓰기,1557210498865 ,1557211212864 ,714,3,3,3,글쓰는 중에 카톡을 확인하려고
p8,헬스장,헬스,1557211368696 ,1557211388162 ,87,5,5,2,카톡
p18,자취방,공부,1557211354140 ,1557211407150 ,53,5,5,5,카톡알람울려서 그냥 설문조사알람이 뜸
p13,동아리방,수면,1557210919244 ,1557211764131 ,845,5,5,5,
p14,연구실,실험,1557212157435 ,1557212212479 ,462,4,5,1,카톡
p2,강의실,수업,1557212103039 ,1557212216516 ,113,3,3,3,
p32,도서관,공부,1557212001630 ,1557212324125 ,322,4,4,4,sns 구경을 위해서
p10,강의실,수업,1557210589826 ,1557212461672 ,1872,3,4,1,수업중 휴대폰 충전
p18,자취방,공부,1557211652601 ,1557212595272 ,942,5,4,4,과제 하나 끝내고 시간 체크
p3,정석,수업,1557211570117 ,1557212605931 ,1036,3,5,5,쉬는 중에 메시지 확인을 위하여
p8,헬스장,헬스,1557212396429 ,1557212650253 ,253,5,5,1,휴식
p24,강의실,수업,1557211790677 ,1557212650082 ,859,4,4,4,
p17,강의실,수업,1557212780030 ,1557212868962 ,89,4,4,4,친구가 보낸 수업자료를 확인하려고
p2,강의실,수업,1557212510871 ,1557212924074 ,413,3,3,3,
p13,동아리방,공부,1557212579134 ,1557212950822 ,372,4,4,4,검색
p18,자취방,공부,1557212962499 ,1557213021217 ,58,4,4,3,전화
p16,연구실,실험,1557212742214 ,1557213027100 ,285,4,4,3,시간 확인
